Filename,w,p,p 0.99,min entropy
hybrid0_p0es0.bin,12,0.5248702984435814,0.5261567118375595,0.9264355354489974
hybrid0_p0es10.bin,12,0.5253023036276435,0.5265886611165254,0.9252516383098408
hybrid0_p0es100.bin,12,0.5249702996435958,0.5262567001824282,0.9261613985212934
hybrid0_p0es20.bin,12,0.5261723140677688,0.5274585560405957,0.9228703533777244
hybrid0_p0es30.bin,12,0.5253193038316459,0.5266056591008206,0.9252050696810907
hybrid0_p0es40.bin,12,0.525861310335724,0.5271475940518613,0.9237211417635388
hybrid0_p0es50.bin,12,0.5256203074436894,0.5269066231634536,0.9243807805299
hybrid0_p0es60.bin,12,0.5252873034476414,0.5265736628938471,0.9252927295281426
hybrid0_p0es70.bin,12,0.5255993071916863,0.5268856256859185,0.9244382737535373
hybrid0_p0es80.bin,12,0.52576430917171,0.5270506058051014,0.923986603159771
hybrid0_p0es90.bin,12,0.5254883058596703,0.5267746389810537,0.9247422046782852
hybrid0_p100es0.bin,10,0.5132471324713247,0.514534686776483,0.9586597568281747
hybrid0_p100es10.bin,10,0.5141631416314163,0.515450631233545,0.9560938389433984
hybrid0_p100es100.bin,16,0.9970709531352502,0.9972101647674866,0.004030506296913309
hybrid0_p100es20.bin,10,0.5193091930919309,0.5205962387202495,0.9417632065015531
hybrid0_p100es30.bin,11,0.5378529163820802,0.5391372271376823,0.8912755645566296
hybrid0_p100es40.bin,11,0.5576731344044784,0.5589525444838319,0.8392022925775257
hybrid0_p100es50.bin,11,0.5875814633960974,0.588849557195623,0.7640290021069809
hybrid0_p100es60.bin,10,0.6167471674716747,0.6179995710465903,0.6943222581317767
hybrid0_p100es70.bin,10,0.6570975709757098,0.6583203507367201,0.6031382982351143
hybrid0_p100es80.bin,10,0.704749047490475,0.7059241098981438,0.5024149994341498
hybrid0_p100es90.bin,9,0.7462687164184477,0.7473896566055862,0.42006749700638785
hybrid0_p10es0.bin,12,0.5253853046236555,0.526671651260977,0.9250242881122043
hybrid0_p10es10.bin,12,0.525146301755621,0.5264326795437907,0.9256790443545448
hybrid0_p10es100.bin,12,0.5259483113797365,0.5272345834688915,0.923483089179723
hybrid0_p10es20.bin,12,0.5263533162397949,0.5276395336879358,0.9223754315132422
hybrid0_p10es30.bin,12,0.5256263075156902,0.5269126224423303,0.9243643543165423
hybrid0_p10es40.bin,12,0.5258663103957247,0.5271525934447051,0.9237074595137416
hybrid0_p10es60.bin,12,0.5257693092317108,0.5270556052004541,0.9239729183853004
hybrid0_p10es70.bin,12,0.5256833081996984,0.5269696155823725,0.9242083146422464
hybrid0_p10es80.bin,12,0.5259813117757413,0.527267579444419,0.9233928036744816
hybrid0_p10es90.bin,12,0.525507306087673,0.5267936367098304,0.9246901759114181
hybrid0_p11es0.bin,12,0.5252933035196422,0.5265796621830581,0.9252762928999945
hybrid0_p1es0.bin,12,0.5255173062076745,0.5268036355136998,0.9246627931056004
hybrid0_p1es10.bin,12,0.5259673116077392,0.527253581152459,0.9234311059241612
hybrid0_p1es100.bin,12,0.5261293135517626,0.5274155613259807,0.9229879565316413
hybrid0_p1es20.bin,12,0.5250993011916143,0.5263856850709229,0.9258078390170988
hybrid0_p1es30.bin,12,0.5254393052716633,0.5267256448298018,0.9248763928131739
hybrid0_p1es40.bin,12,0.5253833045996552,0.526669651498879,0.9250297660078384
hybrid0_p1es50.bin,12,0.5255263063156758,0.52681263443674,0.9246381490259407
hybrid0_p1es60.bin,12,0.5259573114877378,0.5272435823718669,0.9234584652982301
hybrid0_p1es70.bin,12,0.5250533006396076,0.5263396904693942,0.9259339045326018
hybrid0_p1es80.bin,12,0.5252643031716381,0.5265506656168136,0.9253557383422725
hybrid0_p1es90.bin,12,0.525743308919707,0.5270296083432082,0.9240440806339556
hybrid0_p20es10.bin,12,0.5256623079476954,0.5269486181116806,0.9242658009744381
hybrid0_p20es100.bin,12,0.5308763705164462,0.5321619200537653,0.9100628158596896
hybrid0_p20es20.bin,12,0.5257003084037009,0.5269866135331666,0.9241617797698476
hybrid0_p20es30.bin,12,0.5254253051036613,0.5267116464985917,0.9249147345790957
hybrid0_p20es40.bin,12,0.5257963095557147,0.5270826019331236,0.9238990228522718
hybrid0_p20es50.bin,12,0.525840310083721,0.5271265966005052,0.9237786086335719
hybrid0_p20es60.bin,12,0.526541318495822,0.5278275102913533,0.9218615492125718
hybrid0_p20es70.bin,12,0.5272163265959191,0.5285024247805931,0.9200180041480664
hybrid0_p20es80.bin,12,0.5284183410200922,0.5297042666698024,0.9167409655637981
hybrid0_p20es90.bin,12,0.5294613535362425,0.5307471234126132,0.9139034479740508
hybrid0_p30es0.bin,11,0.5177466952136474,0.5190338907387545,0.9460993512860719
hybrid0_p30es10.bin,12,0.5251413016956203,0.5264276801323265,0.9256927453663845
hybrid0_p30es100.bin,12,0.5438105257263087,0.5450935796212569,0.8754241672618036
hybrid0_p30es20.bin,12,0.5257603091237095,0.5270466062887263,0.9239975510730642
hybrid0_p30es30.bin,12,0.5260213122557471,0.527307574558718,0.9232833742936214
